1,The Gu red shirt XML tag t-shirt (White) 3XS,4,White,Clothing,12,15.000,18.00,26.91,0.250
2,The Gu red shirt XML tag t-shirt (White) XXS,4,White,Clothing,12,15.000,18.00,26.91,0.250
3,The Gu red shirt XML tag t-shirt (White) XS,4,White,Clothing,12,15.000,18.00,26.91,0.250
4,The Gu red shirt XML tag t-shirt (White) S,4,White,Clothing,12,15.000,18.00,26.91,0.300
5,The Gu red shirt XML tag t-shirt (White) M,4,White,Clothing,12,15.000,18.00,26.91,0.350
6,The Gu red shirt XML tag t-shirt (White) L,4,White,Clothing,12,15.000,18.00,26.91,0.350
7,The Gu red shirt XML tag t-shirt (White) XL,4,White,Clothing,12,15.000,18.00,26.91,0.350
8,The Gu red shirt XML tag t-shirt (White) XXL,4,White,Clothing,12,15.000,18.00,26.91,0.400
9,The Gu red shirt XML tag t-shirt (White) 3XL,4,White,Clothing,12,15.000,18.00,26.91,0.400
10,The Gu red shirt XML tag t-shirt (White) 4XL,4,White,Clothing,12,15.000,18.00,26.91,0.400
11,The Gu red shirt XML tag t-shirt (White) 5XL,4,White,Clothing,12,15.000,18.00,26.91,0.400
12,The Gu red shirt XML tag t-shirt (White) 6XL,4,White,Clothing,12,15.000,18.00,26.91,0.400
13,The Gu red shirt XML tag t-shirt (White) 7XL,4,White,Clothing,12,15.000,18.00,26.91,0.450
14,The Gu red shirt XML tag t-shirt (Black) 3XS,4,Black,Clothing,12,15.000,18.00,26.91,0.250
15,The Gu red shirt XML tag t-shirt (Black) XXS,4,Black,Clothing,12,15.000,18.00,26.91,0.250
16,The Gu red shirt XML tag t-shirt (Black) XS,4,Black,Clothing,12,15.000,18.00,26.91,0.250
17,The Gu red shirt XML tag t-shirt (Black) S,4,Black,Clothing,12,15.000,18.00,26.91,0.300
18,The Gu red shirt XML tag t-shirt (Black) M,4,Black,Clothing,12,15.000,18.00,26.91,0.350
19,The Gu red shirt XML tag t-shirt (Black) L,4,Black,Clothing,12,15.000,18.00,26.91,0.350
20,The Gu red shirt XML tag t-shirt (Black) XL,4,Black,Clothing,12,15.000,18.00,26.91,0.350
21,The Gu red shirt XML tag t-shirt (Black) XXL,4,Black,Clothing,12,15.000,18.00,26.91,0.400
22,The Gu red shirt XML tag t-shirt (Black) 3XL,4,Black,Clothing,12,15.000,18.00,26.91,0.400
23,The Gu red shirt XML tag t-shirt (Black) 4XL,4,Black,Clothing,12,15.000,18.00,26.91,0.400
24,The Gu red shirt XML tag t-shirt (Black) 5XL,4,Black,Clothing,12,15.000,18.00,26.91,0.400
25,The Gu red shirt XML tag t-shirt (Black) 6XL,4,Black,Clothing,12,15.000,18.00,26.91,0.400
26,The Gu red shirt XML tag t-shirt (Black) 7XL,4,Black,Clothing,12,15.000,18.00,26.91,0.450
27,Alien officer hoodie (Black) XL,4,Black,Clothing,1,15.000,35.00,52.33,0.400
28,Alien officer hoodie (Black) XXL,4,Black,Clothing,1,15.000,35.00,52.33,0.400
29,Alien officer hoodie (Black) 3XL,4,Black,Clothing,1,15.000,35.00,52.33,0.400
30,Alien officer hoodie (Black) 4XL,4,Black,Clothing,1,15.000,35.00,52.33,0.400
31,Alien officer hoodie (Black) 5XL,4,Black,Clothing,1,15.000,35.00,52.33,0.400
32,Superhero action jacket (Blue) 3XS,4,Blue,Clothing,1,15.000,25.00,37.38,0.300
33,Superhero action jacket (Blue) XXS,4,Blue,Clothing,1,15.000,25.00,37.38,0.300
34,Superhero action jacket (Blue) XS,4,Blue,Clothing,1,15.000,25.00,37.38,0.300
35,Superhero action jacket (Blue) S,4,Blue,Clothing,1,15.000,25.00,37.38,0.300
36,Superhero action jacket (Blue) M,4,Blue,Clothing,1,15.000,30.00,44.85,0.350
37,Superhero action jacket (Blue) L,4,Blue,Clothing,1,15.000,30.00,44.85,0.350
38,Superhero action jacket (Blue) XL,4,Blue,Clothing,1,15.000,30.00,44.85,0.350
39,Superhero action jacket (Blue) XXL,4,Blue,Clothing,1,15.000,30.00,44.85,0.350
40,Superhero action jacket (Blue) 3XL,4,Blue,Clothing,1,15.000,34.00,50.83,0.400
41,Superhero action jacket (Blue) 4XL,4,Blue,Clothing,1,15.000,34.00,50.83,0.400
42,Superhero action jacket (Blue) 5XL,4,Blue,Clothing,1,15.000,34.00,50.83,0.400
43,Dinosaur battery-powered slippers (Green) S,4,,Clothing,1,15.000,32.00,47.84,0.350
